id,code,name,level
code_154,154,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques",1
code_154_01,154.01,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques",2
code_155,155,Mobiliario y equipo de oficina,1
code_155_01,155.01,Mobiliario y equipo de oficina,2
code_156,156,Equipo de cómputo,1
code_156_01,156.01,Equipo de cómputo,2
code_157,157,Equipo de comunicación,1
code_157_01,157.01,Equipo de comunicación,2
code_158,158,"Activos biológicos, vegetales y semovientes",1
code_158_01,158.01,"Activos biológicos, vegetales y semovientes",2
code_159,159,Obras en proceso de activos fijos,1
code_159_01,159.01,Obras en proceso de activos fijos,2
code_160,160,Otros activos fijos,1
code_160_01,160.01,Otros activos fijos,2
code_161,161,Ferrocarriles,1
code_161_01,161.01,Ferrocarriles,2
code_162,162,Embarcaciones,1
code_162_01,162.01,Embarcaciones,2
code_163,163,Aviones,1
code_163_01,163.01,Aviones,2
code_164,164,"Troqueles, moldes, matrices y herramental",1
code_164_01,164.01,"Troqueles, moldes, matrices y herramental",2
code_165,165,Equipo de comunicaciones telefónicas,1
code_165_01,165.01,Equipo de comunicaciones telefónicas,2
code_166,166,Equipo de comunicación satelital,1
code_166_01,166.01,Equipo de comunicación satelital,2
code_167,167,Equipo de adaptaciones para personas con capacidades diferentes,1
code_167_01,167.01,Equipo de adaptaciones para personas con capacidades diferentes,2
code_168,168,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,1
code_168_01,168.01,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,2
code_169,169,Otra maquinaria y equipo,1
code_169_01,169.01,Otra maquinaria y equipo,2
code_170,170,Adaptaciones y mejoras,1
code_170_01,170.01,Adaptaciones y mejoras,2
code_171,171,Depreciación acumulada de activos fijos,1
code_171_01,171.01,Depreciación acumulada de edificios,2
code_171_02,171.02,Depreciación acumulada de maquinaria y equipo,2
code_171_03,171.03,"Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques",2
code_171_04,171.04,Depreciación acumulada de mobiliario y equipo de oficina,2
code_171_05,171.05,Depreciación acumulada de equipo de cómputo,2
code_171_06,171.06,Depreciación acumulada de equipo de comunicación,2
code_171_07,171.07,"Depreciación acumulada de activos biológicos, vegetales y semovientes",2
code_171_08,171.08,Depreciación acumulada de otros activos fijos,2
code_171_09,171.09,Depreciación acumulada de ferrocarriles,2
code_171_10,171.10,Depreciación acumulada de embarcaciones,2
code_171_11,171.11,Depreciación acumulada de aviones,2
code_171_12,171.12,"Depreciación acumulada de troqueles, moldes, matrices y herramental",2
code_171_13,171.13,Depreciación acumulada de equipo de comunicaciones telefónicas,2
